"koura_id","experiment","round","exp_tank","hold_tank","location_after_exp1","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","moult_date","size_mm2","weight_g2","legs2","claws2","antenna2","notes"
59,"2",NA,4,"11","11","L","M",31.65,23,8,2,NA,NA,NA,NA,NA,NA,NA,NA
60,"2",NA,4,"11","11","L","M",35.61,28,8,2,2,NA,NA,NA,NA,NA,NA,NA
61,"2",NA,5,"12","12","S","M",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
86,"2",NA,5,"12","12","S","M",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
63,"2",NA,5,"12","12","M","M",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
64,"2",NA,5,"12","12","M","M",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
65,"2",NA,5,"12","12","L","M",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
66,"2",NA,5,"12","12","L","M",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
67,"2",NA,6,"12","12","S","M",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
88,"2",NA,6,"12","12","S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
69,"2",NA,6,"12","12","M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
70,"2",NA,6,"12","12","M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
71,"2",NA,6,"12","12","L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
72,"2",NA,6,"12","12","L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
92,"Extra","Extra",0,"w2","12","S","M",19.87,4,8,1,2,NA,NA,NA,NA,NA,NA,NA
75,"Extra","Extra",0,"w2","12","M","M",23.65,8,8,2,2,NA,NA,NA,NA,NA,NA,NA
76,"Extra","Extra",0,"w2","12","M","M",26.88,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
77,"Extra","Extra",0,"w2","12","L","M",30.44,19,8,2,2,NA,NA,NA,NA,NA,NA,"escaped died 1/10/25 all the way to other side or parking it walked found"
78,"Extra","Extra",0,"w2","12","L","M",30.6,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
38,"Extra","Extra",0,"w3","9","S","F",19.7,6,8,2,NA,NA,NA,NA,NA,NA,NA,NA
44,"Extra","Extra",0,"w3","9","S","F",19.89,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
50,"Extra","Extra",0,"w3","9","S","F",19.91,5,8,2,2,"? 6/08/25",20.86,7,8,2,2,"Moulted?"
56,"Extra","Extra",0,"w3","9","S","F",21.85,6,6,1,2,"45894",23.13,7,6,1,2,"Moulted"
62,"Extra","Extra",0,"w3","9","S","F",21.92,6,8,2,2,NA,NA,NA,NA,NA,NA,NA
68,"Extra","Extra",0,"w3","9","S","F",19.1,4,8,2,2,NA,NA,NA,NA,NA,NA,NA
80,"Extra","Extra",0,"w3","9","M","M",27.47,13,7,2,2,NA,NA,NA,NA,NA,NA,NA
81,"Extra","Extra",0,"w3","9","M","M",23.56,7,8,2,2,NA,NA,NA,NA,NA,NA,NA
82,"Extra","Extra",0,"w3","9","M","M",22.35,7,6,2,2,"45894",27.03,11,8,1,2,"Moulted"
84,"Extra","Extra",0,"w3","9/ or missing","M","M",24.5,10,8,1,2,NA,NA,NA,NA,NA,NA,"soft"
85,"Extra","Extra",0,"w3","9","M","M",26.85,10,8,0,2,"45943",29.1,13,7,1,2,"soft"
87,"Extra","Extra",0,"w3","9","M","M",23.56,8,8,1,2,NA,NA,NA,NA,NA,NA,NA
89,"Extra","Extra",0,"w3","9","M","M",24.6,10,8,1,2,NA,NA,NA,NA,NA,NA,NA
90,"Extra","Extra",0,"w3","9","M","M",22.6,6,8,2,2,NA,NA,NA,NA,NA,NA,NA
91,"Extra","Extra",0,"w3","9","M","M",24.4,9,7,2,2,NA,NA,NA,NA,NA,NA,NA
93,"2",NA,NA,NA,NA,"M","M",24.31,8,6,2,2,NA,NA,NA,NA,NA,NA,"replace 88 in exp3"
NA,"little one with only 3 legs left snapt by other.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23.81 died and eaten by others while in holding tank 1 inside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
