"tank","tank_use","data_time","substrate","parameter","parameter_abb","unit","value"
7,"Holding",2025-08-27 15:43:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
7,"Holding",2025-08-27 15:43:00,"Paving sand","pH","pH",NA,"8.02"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Temperature","Temp","(°C)","14.3"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Pressure","Press","(mbars)","1005.7"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Dissolved Oxygen","DO","(%)","108.7"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.13"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","176.7"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Conductivity","Cond","(µS/cm)","140.6"
8,"Holding",2025-08-27 15:44:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
8,"Holding",2025-08-27 15:44:00,"Paving sand","pH","pH",NA,"8.18"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Temperature","Temp","(°C)","14.1"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Pressure","Press","(mbars)","1005.7"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Dissolved Oxygen","DO","(%)","110.9"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.4"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","175.4"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Conductivity","Cond","(µS/cm)","138.9"
9,"Holding",2025-08-27 15:45:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
9,"Holding",2025-08-27 15:45:00,"Paving sand","pH","pH",NA,"8.15"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Temperature","Temp","(°C)","14.7"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Pressure","Press","(mbars)","1005.6"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Dissolved Oxygen","DO","(%)","110.6"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.24"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","177.2"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Conductivity","Cond","(µS/cm)","142.1"
10,"Holding",2025-08-27 15:46:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
10,"Holding",2025-08-27 15:46:00,"Paving sand","pH","pH",NA,"8.15"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Temperature","Temp","(°C)","14.4"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Pressure","Press","(mbars)","1005.7"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Dissolved Oxygen","DO","(%)","111.3"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.37"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","177.3"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Conductivity","Cond","(µS/cm)","141.5"
11,"Holding",2025-08-27 15:48:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
11,"Holding",2025-08-27 15:48:00,"Paving sand","pH","pH",NA,"8.1300000000000008"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Temperature","Temp","(°C)","13.9"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Pressure","Press","(mbars)","1005.6"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Dissolved Oxygen","DO","(%)","108.3"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.18"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","169.4"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Conductivity","Cond","(µS/cm)","133.6"
12,"Holding",2025-08-27 15:49:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
12,"Holding",2025-08-27 15:49:00,"Paving sand","pH","pH",NA,"8.07"
13,NA,2025-08-27 15:50:00,"Paving sand","Temperature","Temp","(°C)","15.1"
13,NA,2025-08-27 15:50:00,"Paving sand","Pressure","Press","(mbars)","1005.7"
13,NA,2025-08-27 15:50:00,"Paving sand","Dissolved Oxygen","DO","(%)","127.3"
13,NA,2025-08-27 15:50:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","12.8"
13,NA,2025-08-27 15:50:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","112.3"
13,NA,2025-08-27 15:50:00,"Paving sand","Conductivity","Cond","(µS/cm)","91.1"
13,NA,2025-08-27 15:50:00,"Paving sand","Salinity","SAL","(ppt)","0.05"
13,NA,2025-08-27 15:50:00,"Paving sand","pH","pH",NA,"8.9700000000000006"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Temperature","Temp","(°C)","11.5"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Pressure","Press","(mbars)","1009.8"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Dissolved Oxygen","DO","(%)","99.5"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.84"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","163.5"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Conductivity","Cond","(µS/cm)","121.4"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
1,"Experiment",2025-09-01 11:12:00,"Paving sand","pH","pH",NA,"8.33"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Temperature","Temp","(°C)","11"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Pressure","Press","(mbars)","1009.8"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Dissolved Oxygen","DO","(%)","99.9"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.01"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","163.9"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Conductivity","Cond","(µS/cm)","120"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
2,"Experiment",2025-09-01 11:13:00,"Paving sand","pH","pH",NA,"8.48"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Temperature","Temp","(°C)","11.2"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Pressure","Press","(mbars)","1009.9"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Dissolved Oxygen","DO","(%)","100.5"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.02"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","163.9"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Conductivity","Cond","(µS/cm)","120.7"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
3,"Experiment",2025-09-01 11:14:00,"Paving sand","pH","pH",NA,"8.49"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Temperature","Temp","(°C)","11.3"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Pressure","Press","(mbars)","1009.9"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Dissolved Oxygen","DO","(%)","101.1"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.08"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","164.9"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Conductivity","Cond","(µS/cm)","121.7"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
4,"Experiment",2025-09-01 11:15:00,"Paving sand","pH","pH",NA,"8.39"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Temperature","Temp","(°C)","11.2"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Pressure","Press","(mbars)","1009.7"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Dissolved Oxygen","DO","(%)","101.4"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.12"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","165"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Conductivity","Cond","(µS/cm)","121.5"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
5,"Experiment",2025-09-01 11:16:00,"Paving sand","pH","pH",NA,"8.33"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Temperature","Temp","(°C)","11.1"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Pressure","Press","(mbars)","1009.8"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Dissolved Oxygen","DO","(%)","100.9"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.11"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","164.7"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Conductivity","Cond","(µS/cm)","120.8"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
6,"Experiment",2025-09-01 11:17:00,"Paving sand","pH","pH",NA,"8.2100000000000009"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Temperature","Temp","(°C)","11.5"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Pressure","Press","(mbars)","1009.6"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Dissolved Oxygen","DO","(%)","101.9"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.1"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","160.6"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Conductivity","Cond","(µS/cm)","119.2"
7,"Holding",2025-09-01 11:18:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
7,"Holding",2025-09-01 11:18:00,"Paving sand","pH","pH",NA,"8.18"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Temperature","Temp","(°C)","11.5"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Pressure","Press","(mbars)","1009.8"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Dissolved Oxygen","DO","(%)","107.3"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.69"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Conductivity","Cond","(µS/cm)","123.2"
8,"Holding",2025-09-01 11:20:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
8,"Holding",2025-09-01 11:20:00,"Paving sand","pH","pH",NA,"8.23"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Temperature","Temp","(°C)","11.3"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Pressure","Press","(mbars)","1009.7"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Dissolved Oxygen","DO","(%)","106"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.61"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","173.8"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Conductivity","Cond","(µS/cm)","128.30000000000001"
9,"Holding",2025-09-01 11:21:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
9,"Holding",2025-09-01 11:21:00,"Paving sand","pH","pH",NA,"8.24"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Temperature","Temp","(°C)","11.6"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Pressure","Press","(mbars)","1009.8"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Dissolved Oxygen","DO","(%)","106.9"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.63"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","170.8"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Conductivity","Cond","(µS/cm)","127.1"
10,"Holding",2025-09-01 11:23:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
10,"Holding",2025-09-01 11:23:00,"Paving sand","pH","pH",NA,"8.2100000000000009"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Temperature","Temp","(°C)","11.5"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Pressure","Press","(mbars)","1009.7"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Dissolved Oxygen","DO","(%)","108.6"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.85"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","174.4"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Conductivity","Cond","(µS/cm)","129.30000000000001"
11,"Holding",2025-09-01 11:24:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
11,"Holding",2025-09-01 11:24:00,"Paving sand","pH","pH",NA,"8.23"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Temperature","Temp","(°C)","11.5"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Pressure","Press","(mbars)","1009.6"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Dissolved Oxygen","DO","(%)","106.9"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.66"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","165.5"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Conductivity","Cond","(µS/cm)","122.7"
12,"Holding",2025-09-01 11:25:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
12,"Holding",2025-09-01 11:25:00,"Paving sand","pH","pH",NA,"8.23"
13,NA,2025-09-01 11:26:00,"Paving sand","Temperature","Temp","(°C)","10.9"
13,NA,2025-09-01 11:26:00,"Paving sand","Pressure","Press","(mbars)","1009.7"
13,NA,2025-09-01 11:26:00,"Paving sand","Dissolved Oxygen","DO","(%)","102.7"
13,NA,2025-09-01 11:26:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.34"
13,NA,2025-09-01 11:26:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","105.7"
13,NA,2025-09-01 11:26:00,"Paving sand","Conductivity","Cond","(µS/cm)","77.3"
13,NA,2025-09-01 11:26:00,"Paving sand","Salinity","SAL","(ppt)","0.05"
13,NA,2025-09-01 11:26:00,"Paving sand","pH","pH",NA,"8.6300000000000008"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Temperature","Temp","(°C)","11.9"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Pressure","Press","(mbars)","1013.5"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Dissolved Oxygen","DO","(%)","101.2"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.93"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166.9"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Conductivity","Cond","(µS/cm)","125.1"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
1,"Experiment",2025-09-02 11:01:00,"Paving sand","pH","pH",NA,"8.3800000000000008"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Temperature","Temp","(°C)","12.2"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Pressure","Press","(mbars)","1013.4"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Dissolved Oxygen","DO","(%)","101.8"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.93"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166.6"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Conductivity","Cond","(µS/cm)","125.7"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
2,"Experiment",2025-09-02 11:02:00,"Paving sand","pH","pH",NA,"8.2799999999999994"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Temperature","Temp","(°C)","12.8"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Pressure","Press","(mbars)","1013.4"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Dissolved Oxygen","DO","(%)","102.8"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.89"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166.5"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Conductivity","Cond","(µS/cm)","127.6"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
3,"Experiment",2025-09-02 11:03:00,"Paving sand","pH","pH",NA,"8.18"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Temperature","Temp","(°C)","12.9"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Dissolved Oxygen","DO","(%)","103.7"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.94"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","167.2"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Conductivity","Cond","(µS/cm)","128.6"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
4,"Experiment",2025-09-02 11:04:00,"Paving sand","pH","pH",NA,"8.1199999999999992"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Temperature","Temp","(°C)","13"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Pressure","Press","(mbars)","1013.4"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Dissolved Oxygen","DO","(%)","104"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.96"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","167.5"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Conductivity","Cond","(µS/cm)","129"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
5,"Experiment",2025-09-02 11:05:00,"Paving sand","pH","pH",NA,"8.08"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Temperature","Temp","(°C)","12.9"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Dissolved Oxygen","DO","(%)","103.7"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.95"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166.5"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Conductivity","Cond","(µS/cm)","128"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
6,"Experiment",2025-09-02 11:06:00,"Paving sand","pH","pH",NA,"8.08"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Temperature","Temp","(°C)","13.7"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Dissolved Oxygen","DO","(%)","105.8"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.96"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","166.2"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Conductivity","Cond","(µS/cm)","130.4"
7,"Holding",2025-09-02 11:07:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
7,"Holding",2025-09-02 11:07:00,"Paving sand","pH","pH",NA,"8.08"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Temperature","Temp","(°C)","13.6"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Dissolved Oxygen","DO","(%)","106.7"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.08"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","168.7"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Conductivity","Cond","(µS/cm)","132.1"
8,"Holding",2025-09-02 11:08:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
8,"Holding",2025-09-02 11:08:00,"Paving sand","pH","pH",NA,"8.08"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Temperature","Temp","(°C)","13.5"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Pressure","Press","(mbars)","1013.2"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Dissolved Oxygen","DO","(%)","106.6"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.1"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","170.2"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Conductivity","Cond","(µS/cm)","132.9"
9,"Holding",2025-09-02 11:09:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
9,"Holding",2025-09-02 11:09:00,"Paving sand","pH","pH",NA,"8.08"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Temperature","Temp","(°C)","13.5"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Dissolved Oxygen","DO","(%)","109.1"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.36"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","171.9"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Conductivity","Cond","(µS/cm)","134.19999999999999"
10,"Holding",2025-09-02 11:10:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
10,"Holding",2025-09-02 11:10:00,"Paving sand","pH","pH",NA,"8.1"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Temperature","Temp","(°C)","13.4"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Pressure","Press","(mbars)","1013.3"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Dissolved Oxygen","DO","(%)","108.6"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.35"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","173.1"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Conductivity","Cond","(µS/cm)","134.6"
11,"Holding",2025-09-02 11:11:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
11,"Holding",2025-09-02 11:11:00,"Paving sand","pH","pH",NA,"8.15"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Temperature","Temp","(°C)","13.2"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Pressure","Press","(mbars)","1013.2"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Dissolved Oxygen","DO","(%)","107.6"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.29"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","167.2"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Conductivity","Cond","(µS/cm)","129.4"
12,"Holding",2025-09-02 11:12:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
12,"Holding",2025-09-02 11:12:00,"Paving sand","pH","pH",NA,"8.1999999999999993"
13,NA,2025-09-02 11:13:00,"Paving sand","Temperature","Temp","(°C)","12.9"
13,NA,2025-09-02 11:13:00,"Paving sand","Pressure","Press","(mbars)","1013.2"
13,NA,2025-09-02 11:13:00,"Paving sand","Dissolved Oxygen","DO","(%)","109.1"
13,NA,2025-09-02 11:13:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","11.53"
13,NA,2025-09-02 11:13:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","106"
13,NA,2025-09-02 11:13:00,"Paving sand","Conductivity","Cond","(µS/cm)","81.400000000000006"
13,NA,2025-09-02 11:13:00,"Paving sand","Salinity","SAL","(ppt)","0.05"
13,NA,2025-09-02 11:13:00,"Paving sand","pH","pH",NA,"8.8000000000000007"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Temperature","Temp","(°C)","11"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Pressure","Press","(mbars)","1021.4"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Dissolved Oxygen","DO","(%)","98"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.8"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","168.7"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Conductivity","Cond","(µS/cm)","123.6"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
1,"Experiment",2025-09-03 11:07:00,"Paving sand","pH","pH",NA,"8.2799999999999994"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Temperature","Temp","(°C)","11.7"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Pressure","Press","(mbars)","1021.4"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Dissolved Oxygen","DO","(%)","97.9"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.61"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","168.4"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Conductivity","Cond","(µS/cm)","125.7"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
2,"Experiment",2025-09-03 11:09:00,"Paving sand","pH","pH",NA,"8.33"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Temperature","Temp","(°C)","12.6"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Pressure","Press","(mbars)","10.21.4"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Dissolved Oxygen","DO","(%)","99.7"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.59"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Specific Conductance","SPC","(µS/cm)","169.4"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Conductivity","Cond","(µS/cm)","129.4"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","Salinity","SAL","(ppt)","0.08"
3,"Experiment",2025-09-03 11:10:00,"Paving sand","pH","pH",NA,"8.2100000000000009"
4,"Experiment",2025-09-03 11:11:00,"Paving sand","Temperature","Temp","(°C)","13"
4,"Experiment",2025-09-03 11:11:00,"Paving sand","Pressure","Press","(mbars)","1021.4"
4,"Experiment",2025-09-03 11:11:00,"Paving sand","Dissolved Oxygen","DO","(%)","102.2"
4,"Experiment",2025-09-03 11:11:00,"Paving sand","Dissolved Oxygen","DO","(mg/L)","10.78"
