"experiment","round","tank","group_id","date","t_leave_s","t_l0_s","l0","reef_l0","l1","reef_l1","legs_l0","claws_l0","antenna_l0","legs_l1","claws_l1","antenna_l1","notes_exp","koura_id","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Group",1,6,6,2025-09-08,1899-12-31 02:37:00,NA,"D","StonePile","A","WoodLog",8,2,2,8,2,2,NA,88,"S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
"Group",1,6,6,2025-09-08,NA,NA,"B","SingleStone","B","SingleStone",8,2,2,8,2,2,NA,69,"M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",1,6,6,2025-09-08,NA,NA,"A","WoodLog","A","WoodLog",8,2,2,8,2,2,NA,70,"M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",1,6,6,2025-09-08,NA,NA,"E","TankWall","A","WoodLog",8,2,2,8,2,2,NA,71,"L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",1,6,6,2025-09-08,NA,NA,"B","SingleStone","A","WoodLog",8,2,2,8,2,2,NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,1,6,2025-09-09,NA,NA,"A","WoodLog","A","WoodLog",7,2,2,7,2,2,NA,67,"S","M",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,1,6,2025-09-09,NA,NA,"C","FlatStone","D","StonePile",8,2,2,8,2,2,NA,88,"S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
"Group",2,1,6,2025-09-09,NA,NA,"C","FlatStone","C","FlatStone",8,2,2,8,2,2,NA,69,"M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,1,6,2025-09-09,NA,NA,"D","StonePile","D","StonePile",8,2,2,8,2,2,NA,70,"M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,1,6,2025-09-09,NA,NA,"D","StonePile","D","StonePile",8,2,2,8,2,2,NA,71,"L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,1,6,2025-09-09,NA,NA,"B","SingleStone","C","FlatStone",8,2,2,8,2,2,NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Group",2,2,1,2025-09-09,NA,NA,"D","SingleStone","B","FlatStone",8,2,2,8,2,2,NA,37,"S","M",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"Group",2,2,1,2025-09-09,NA,NA,"B","FlatStone","B","FlatStone",8,2,2,8,2,2,NA,73,"S","M",21.15,6,8,2,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted, Lost last round of exp 3"
"Group",2,2,1,2025-09-09,NA,NA,"D","SingleStone","B","FlatStone",8,2,2,8,2,2,NA,39,"M","M",28.79,15,8,2,2,NA,NA,NA,NA,NA,2025-09-08,"Moulted"
"Group",2,2,1,2025-09-09,NA,NA,"A","StonePile","C","WoodLog",6,2,2,6,2,2,NA,40,"M","M",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
