"experiment","round","tank","group_id","date","next_day","structure_next_day","notes_exp","koura_id","old_id","sex","size_class","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"Brick",1,5,9,2025-10-14,"A","ConcreteBrick",NA,25,30,"M","M",26.55,13,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,5,9,2025-10-14,"C","WoodBlock",NA,26,NA,"M","M",23.62,8,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,5,9,2025-10-14,"E","TankWall",NA,27,NA,"M","M",26.75,13,5,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,5,9,2025-10-14,"B","WoodBlock",NA,28,NA,"M","M",29.36,17,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,5,9,2025-10-14,"C","WoodBlock",NA,29,11,"M","M",29.46,17,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,5,9,2025-10-14,"D","ConcreteBrick",NA,30,33,"M","M",26.95,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"B","ConcreteBrick",NA,31,51,"M","M",26.11,12,7,0,1,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"A","WoodBlock",NA,32,13,"M","M",23.96,8,6,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"B","ConcreteBrick",NA,33,NA,"M","M",24.83,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"A","WoodBlock",NA,34,40,"M","M",25.55,10,6,0,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"B","ConcreteBrick",NA,35,NA,"M","M",28.52,14,5,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"D","WoodBlock",NA,36,NA,"M","M",26.4,12,7,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"C","ConcreteBrick",NA,37,NA,"M","M",26.6,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"A","WoodBlock",NA,38,NA,"M","M",24.32,8,5,1,1,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"C","ConcreteBrick",NA,39,NA,"M","M",24.99,10,7,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",1,6,10,2025-10-14,"D","WoodBlock",NA,40,NA,"M","M",27.17,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"B","ConcreteBrick",NA,31,51,"M","M",26.11,12,7,0,1,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"A","WoodBlock",NA,32,13,"M","M",23.96,8,6,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"A","WoodBlock",NA,33,NA,"M","M",24.83,10,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"A","WoodBlock",NA,34,40,"M","M",25.55,10,6,0,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"D","WoodBlock",NA,35,NA,"M","M",28.52,14,5,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"B","ConcreteBrick",NA,36,NA,"M","M",26.4,12,7,1,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"C","ConcreteBrick",NA,37,NA,"M","M",26.6,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"C","ConcreteBrick",NA,38,NA,"M","M",24.32,8,5,1,1,NA,NA,NA,NA,NA,NA,NA
"Brick",2,3,10,2025-10-15,"C","ConcreteBrick",NA,39,NA,"M","M",24.99,10,7,2,2,NA,NA,NA,NA,NA,NA,NA
