"experiment","round","tank","group_id","date","l0","structure_l0","l1","structure_l1","notes_exp","koura_id","size_class","sex","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"FlatStone_WoodSplit",1,6,6,NA,"B","WoodSplit","A","FlatStone",NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,1,6,NA,"B","FlatStone","A","WoodSplit",NA,67,"S","M",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,1,6,NA,"B","FlatStone","B","FlatStone",NA,93,"S","M",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
"FlatStone_WoodSplit",2,1,6,NA,"B","FlatStone","A","WoodSplit",NA,69,"M","M",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,1,6,NA,NA,NA,"B","FlatStone",NA,70,"M","M",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,1,6,NA,"A","WoodSplit","B","FlatStone",NA,71,"L","M",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,1,6,NA,"B","FlatStone","B","FlatStone",NA,72,"L","M",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,2,1,NA,"B","WoodSplit","B","WoodSplit",NA,37,"S","M",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,2,1,NA,"B","WoodSplit","A","FlatStone",NA,73,"S","M",21.15,6,8,2,2,NA,NA,NA,NA,NA,2025-09-04,"Moulted, Lost last round of exp 3"
"FlatStone_WoodSplit",2,2,1,NA,"B","WoodSplit","B","WoodSplit",NA,39,"M","M",28.79,15,8,2,2,NA,NA,NA,NA,NA,2025-09-08,"Moulted"
"FlatStone_WoodSplit",2,2,1,NA,"E","TankWall","A","FlatStone",NA,40,"M","M",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,2,1,NA,"B","WoodSplit","A","FlatStone",NA,41,"L","M",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,2,1,NA,"E","TankWall","A","FlatStone",NA,42,"L","M",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
"FlatStone_WoodSplit",2,3,2,NA,"A","FlatStone","A","FlatStone",NA,43,"S","M",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
