"tank","round","group_id","koura_id","size_class","sex","date","stage","t_leave_s","t_l0_s","location_code","reef_type","legs","claws","antenna","size_mm_stage","weight_g_stage","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
4,5,6,69,"M","M",2025-09-12,"L1",NA,NA,"A","StonePile",8,2,2,NA,NA,27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,70,"M","M",2025-09-12,"L0",NA,NA,"D","FlatStone",8,2,2,26.13,12,26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,70,"M","M",2025-09-12,"L1",NA,NA,"D","FlatStone",8,2,2,NA,NA,26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,71,"L","M",2025-09-12,"L0",NA,NA,"A","StonePile",8,2,2,39.14,37,39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,71,"L","M",2025-09-12,"L1",NA,NA,"D","FlatStone",8,2,2,NA,NA,39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,72,"L","M",2025-09-12,"L0",NA,NA,"D","FlatStone",8,2,2,32.46,19,32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,5,6,72,"L","M",2025-09-12,"L1",NA,NA,"D","FlatStone",8,2,2,NA,NA,32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,5,1,37,"S","M",2025-09-12,"L0",NA,NA,"A","FlatStone",8,2,2,17.82,1,17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1,37,"S","M",2025-09-12,"L1",NA,NA,"C","StonePile",8,2,2,NA,NA,17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1,73,"S","M",2025-09-12,"L0",NA,NA,"C","StonePile",8,2,2,21.15,6,21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
5,5,1,73,"S","M",2025-09-12,"L1",NA,NA,"C","StonePile",7,2,2,NA,NA,21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
5,5,1,39,"M","M",2025-09-12,"L0",NA,NA,"C","StonePile",8,2,2,28.79,15,28.79,15,8,2,2,NA,NA,NA,NA,NA,"1 Claw broke off by me","Moulted"
5,5,1,39,"M","M",2025-09-12,"L1",NA,NA,"A","FlatStone",6,0,2,NA,NA,28.79,15,8,2,2,NA,NA,NA,NA,NA,"1 Claw broke off by me","Moulted"
5,5,1,40,"M","M",2025-09-12,"L0",NA,NA,"C","StonePile",6,1,2,25.88,11,25.88,11,6,2,2,NA,NA,NA,NA,NA,"1 Claw broke off by me",NA
5,5,1,40,"M","M",2025-09-12,"L1",NA,NA,"B","SingleStone",8,1,2,NA,NA,25.88,11,6,2,2,NA,NA,NA,NA,NA,"1 Claw broke off by me",NA
5,5,1,41,"L","M",2025-09-12,"L0",NA,NA,"D","WoodLog",8,2,2,38.88,39,38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1,41,"L","M",2025-09-12,"L1",NA,NA,"C","StonePile",8,2,2,NA,NA,38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1,42,"L","M",2025-09-12,"L0",NA,NA,"D","WoodLog",8,2,2,38.72,37,38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,5,1,42,"L","M",2025-09-12,"L1",NA,NA,"C","StonePile",8,2,2,NA,NA,38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,43,"S","M",2025-09-12,"L0",NA,NA,"C","SingleStone",8,1,2,21.55,7,21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,5,2,43,"S","M",2025-09-12,"L1",NA,NA,"D","FlatStone",8,1,2,NA,NA,21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,5,2,74,"S","M",2025-09-12,"L0",NA,NA,"C","SingleStone",7,2,2,16.24,1,16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,74,"S","M",2025-09-12,"L1",NA,NA,"D","FlatStone",6,2,2,NA,NA,16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,45,"M","M",2025-09-12,"L0",NA,NA,"C","SingleStone",8,1,2,25.2,10,25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,5,2,45,"M","M",2025-09-12,"L1",NA,NA,"B","WoodLog",8,1,2,NA,NA,25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
6,5,2,46,"M","M",2025-09-12,"L0",NA,NA,"D","FlatStone",8,2,2,29.49,16,29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,46,"M","M",2025-09-12,"L1",NA,NA,"A","StonePile",7,2,2,NA,NA,29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,47,"L","M",2025-09-12,"L0",NA,NA,"D","FlatStone",8,2,2,41.25,42,41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
6,5,2,47,"L","M",2025-09-12,"L1",NA,NA,"D","FlatStone",8,2,2,NA,NA,41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
6,5,2,48,"L","M",2025-09-12,"L0",NA,NA,"A","StonePile",8,2,2,35.25,27,35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,5,2,48,"L","M",2025-09-12,"L1",NA,NA,"A","StonePile",8,2,2,NA,NA,35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
