"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
2,2,1,37,"S","M",NA,"L1","B","WoodSplit",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,73,"S","M",NA,"L0","B","WoodSplit",21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
2,2,1,73,"S","M",NA,"L1","A","FlatStone",21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
2,2,1,39,"M","M",NA,"L0","B","WoodSplit",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
2,2,1,39,"M","M",NA,"L1","B","WoodSplit",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
2,2,1,40,"M","M",NA,"L0","E","TankWall",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
2,2,1,40,"M","M",NA,"L1","A","FlatStone",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
2,2,1,41,"L","M",NA,"L0","B","WoodSplit",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,41,"L","M",NA,"L1","A","FlatStone",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,42,"L","M",NA,"L0","E","TankWall",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,2,1,42,"L","M",NA,"L1","A","FlatStone",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,43,"S","M",NA,"L0","A","FlatStone",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,2,43,"S","M",NA,"L1","A","FlatStone",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,2,74,"S","M",NA,"L0","B","WoodSplit",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,74,"S","M",NA,"L1","B","WoodSplit",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,45,"M","M",NA,"L0","A","FlatStone",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,2,45,"M","M",NA,"L1","A","FlatStone",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,2,2,46,"M","M",NA,"L0","A","FlatStone",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,46,"M","M",NA,"L1","B","WoodSplit",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,47,"L","M",NA,"L0","A","FlatStone",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
3,2,2,47,"L","M",NA,"L1","A","FlatStone",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
3,2,2,48,"L","M",NA,"L0","B","WoodSplit",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,2,2,48,"L","M",NA,"L1","A","FlatStone",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
