"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
5,1,5,61,"S","M",NA,"L1","B","FlatStone",17.24,3,7,2,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,86,"S","M",NA,"L0","B","FlatStone",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,86,"S","M",NA,"L1","A","WoodSplit",15.77,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,63,"M","M",NA,"L0","B","FlatStone",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
5,1,5,63,"M","M",NA,"L1","B","FlatStone",27.27,13,8,2,1,NA,NA,NA,NA,NA,NA,NA
5,1,5,64,"M","M",NA,"L0","B","FlatStone",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,64,"M","M",NA,"L1","B","FlatStone",26.88,12,7,2,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,65,"L","M",NA,"L0","A","WoodSplit",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,65,"L","M",NA,"L1","B","FlatStone",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,66,"L","M",NA,"L0","B","FlatStone",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,1,5,66,"L","M",NA,"L1","B","FlatStone",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,67,"S","M",NA,"L0","B","WoodSplit",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,67,"S","M",NA,"L1","B","WoodSplit",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,88,"S","M",NA,"L0",NA,NA,19.32,4,8,2,2,NA,NA,NA,NA,NA,"Got injured when dyploying died from its injuries","Died 23/09/25 got pinched by other kōura when deploying"
6,1,6,88,"S","M",NA,"L1",NA,NA,19.32,4,8,2,2,NA,NA,NA,NA,NA,"Got injured when dyploying died from its injuries","Died 23/09/25 got pinched by other kōura when deploying"
6,1,6,69,"M","M",NA,"L0","A","FlatStone",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,69,"M","M",NA,"L1","A","FlatStone",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,70,"M","M",NA,"L0","A","FlatStone",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,70,"M","M",NA,"L1","A","FlatStone",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,71,"L","M",NA,"L0","A","FlatStone",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,71,"L","M",NA,"L1","A","FlatStone",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,72,"L","M",NA,"L0","B","WoodSplit",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,1,6,72,"L","M",NA,"L1","A","FlatStone",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,67,"S","M",NA,"L0","B","FlatStone",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,67,"S","M",NA,"L1","A","WoodSplit",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,93,"S","M",NA,"L0","B","FlatStone",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
1,2,6,93,"S","M",NA,"L1","B","FlatStone",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
1,2,6,69,"M","M",NA,"L0","B","FlatStone",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,69,"M","M",NA,"L1","A","WoodSplit",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,70,"M","M",NA,"L0",NA,NA,26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,70,"M","M",NA,"L1","B","FlatStone",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,71,"L","M",NA,"L0","A","WoodSplit",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,71,"L","M",NA,"L1","B","FlatStone",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,72,"L","M",NA,"L0","B","FlatStone",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,2,6,72,"L","M",NA,"L1","B","FlatStone",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,2,1,37,"S","M",NA,"L0","B","WoodSplit",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
